Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
1.0,,"09727 (JSR) MICHAEL L. REGER, Defendant.",Gruber,Civil,Trial,2022-06-07,"09727 (JSR) MICHAEL L. REGER, Defendant.","['09727', '(', 'JSR', ')', 'MICHAEL', 'L.', 'REGER', ',', 'Defendant', '.']",UNLABELED,0.0,[],,,,,,
2.0,,"x Trial June 7, 2022 9:12 a.m. Before: HON.",Gruber,Civil,Trial,2022-06-07,"x Trial June 7, 2022 9:12 a.m. Before: HON.","['x', 'Trial', 'June', '7', ',', '2022', '9:12', 'a.m.', 'Before', ':', 'HON', '.']",TST,1.0,"[{'text': 'June 7, 2022', 'score': 0.834, 'start_pos': 8, 'end_pos': 20}]","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Trial xxxJune 7, 2022xxx 9:12 a.m. Before: HON.",2022-06-07 00:00:00,,
3.0,THE COURT:, Let's get the witness on the stand.,Gruber,Civil,Trial,2022-06-07, Let's get the witness on the stand.,"['Let', ""'s"", 'get', 'the', 'witness', 'on', 'the', 'stand', '.']",UNLABELED,0.0,[],,,,,,
4.0,,Please be seated.,Gruber,Civil,Trial,2022-06-07,Please be seated.,"['Please', 'be', 'seated', '.']",UNLABELED,0.0,[],,,,,,
5.0,,(Jury present) Please be seated.,Gruber,Civil,Trial,2022-06-07,(Jury present) Please be seated.,"['(', 'Jury', 'present', ')', 'Please', 'be', 'seated', '.']",UNLABELED,0.0,[],,,,,,
6.0,,"Good morning, ladies and gentlemen.",Gruber,Civil,Trial,2022-06-07,"Good morning, ladies and gentlemen.","['Good', 'morning', ',', 'ladies', 'and', 'gentlemen', '.']",UNLABELED,0.0,[],,,,,,
7.0,,Thank you very much for your promptness.,Gruber,Civil,Trial,2022-06-07,Thank you very much for your promptness.,"['Thank', 'you', 'very', 'much', 'for', 'your', 'promptness', '.']",UNLABELED,0.0,[],,,,,,
8.0,,"You were all on time, counsel were all on time, but I got waylaid and I was late.",Gruber,Civil,Trial,2022-06-07,"You were all on time, counsel were all on time, but I got waylaid and I was late.","['You', 'were', 'all', 'on', 'time', ',', 'counsel', 'were', 'all', 'on', 'time', ',', 'but', 'I', 'got', 'waylaid', 'and', 'I', 'was', 'late', '.']",UNLABELED,0.0,[],,,,,,
9.0,,So the issue is whether I should hold myself in contempt of court.,Gruber,Civil,Trial,2022-06-07,So the issue is whether I should hold myself in contempt of court.,"['So', 'the', 'issue', 'is', 'whether', 'I', 'should', 'hold', 'myself', 'in', 'contempt', 'of', 'court', '.']",UNLABELED,0.0,[],,,,,,
10.0,,"I seriously considered it, but I then made a mercy pitch to myself which was very convincing.",Gruber,Civil,Trial,2022-06-07,"I seriously considered it, but I then made a mercy pitch to myself which was very convincing.","['I', 'seriously', 'considered', 'it', ',', 'but', 'I', 'then', 'made', 'a', 'mercy', 'pitch', 'to', 'myself', 'which', 'was', 'very', 'convincing', '.']",UNLABELED,0.0,[],,,,,,
11.0,,"So I'm letting myself off the hook this once, but only this once.",Gruber,Civil,Trial,2022-06-07,"So I'm letting myself off the hook this once, but only this once.","['So', 'I', ""'m"", 'letting', 'myself', 'off', 'the', 'hook', 'this', 'once', ',', 'but', 'only', 'this', 'once', '.']",UNLABELED,0.0,[],,,,,,
12.0,,"In all seriousness, I am very grateful to you for being on time, and I will be sure not to be late myself again.",Gruber,Civil,Trial,2022-06-07,"In all seriousness, I am very grateful to you for being on time, and I will be sure not to be late myself again.","['In', 'all', 'seriousness', ',', 'I', 'am', 'very', 'grateful', 'to', 'you', 'for', 'being', 'on', 'time', ',', 'and', 'I', 'will', 'be', 'sure', 'not', 'to', 'be', 'late', 'myself', 'again', '.']",UNLABELED,0.0,[],,,,,,
13.0,,So let's continue.,Gruber,Civil,Trial,2022-06-07,So let's continue.,"['So', 'let', ""'s"", 'continue', '.']",UNLABELED,0.0,[],,,,,,
14.0,,"STEVEN THEL, resumed.",Gruber,Civil,Trial,2022-06-07,"STEVEN THEL, resumed.","['STEVEN', 'THEL', ',', 'resumed', '.']",UNLABELED,0.0,[],,,,,,
15.0,MOLO: Q:, You can take your mask off.,Gruber,Civil,Trial,2022-06-07, You can take your mask off.,"['You', 'can', 'take', 'your', 'mask', 'off', '.']",UNLABELED,0.0,[],,,,,,
16.0,,"Good morning, Professor Thel.",Gruber,Civil,Trial,2022-06-07,"Good morning, Professor Thel.","['Good', 'morning', ',', 'Professor', 'Thel', '.']",UNLABELED,0.0,[],,,,,,
17.0,A:, Good morning.,Gruber,Civil,Trial,2022-06-07, Good morning.,"['Good', 'morning', '.']",UNLABELED,0.0,[],,,,,,
18.0,Q:," Could we put back up Thel Demonstrative Exhibit 5, please.",Gruber,Civil,Trial,2022-06-07," Could we put back up Thel Demonstrative Exhibit 5, please.","['Could', 'we', 'put', 'back', 'up', 'Thel', 'Demonstrative', 'Exhibit', '5', ',', 'please', '.']",TR,0.0,[],,,,,,
20.0,A:," Yes, I did.",Gruber,Civil,Trial,2022-06-07," Yes, I did.","['Yes', ',', 'I', 'did', '.']",UNLABELED,0.0,[],,,,,,
21.0,Q:, And what did you conclude?,Gruber,Civil,Trial,2022-06-07, And what did you conclude?,"['And', 'what', 'did', 'you', 'conclude', '?']",UNLABELED,0.0,[],,,,,,
22.0,A:, I concluded he was.,Gruber,Civil,Trial,2022-06-07, I concluded he was.,"['I', 'concluded', 'he', 'was', '.']",UNLABELED,0.0,[],,,,,,
23.0,Q:," How many shares did James Randall Reger, also known as Randy Reger, hold?",Gruber,Civil,Trial,2022-06-07," How many shares did James Randall Reger, also known as Randy Reger, hold?","['How', 'many', 'shares', 'did', 'James', 'Randall', 'Reger', ',', 'also', 'known', 'as', 'Randy', 'Reger', ',', 'hold', '?']",UNLABELED,0.0,[],,,,,,
24.0,A:," He held about, in record name, about four percent of the outstanding common stock of Dakota Plains.",Gruber,Civil,Trial,2022-06-07," He held about, in record name, about four percent of the outstanding common stock of Dakota Plains.","['He', 'held', 'about', ',', 'in', 'record', 'name', ',', 'about', 'four', 'percent', 'of', 'the', 'outstanding', 'common', 'stock', 'of', 'Dakota', 'Plains', '.']",UNLABELED,0.0,[],,,,,,
25.0,MR. MOLO:," Could you take down the chart, please.",Gruber,Civil,Trial,2022-06-07," Could you take down the chart, please.","['Could', 'you', 'take', 'down', 'the', 'chart', ',', 'please', '.']",UNLABELED,0.0,[],,,,,,
26.0,Q:, How did you reach the conclusion that Michael Reger was the beneficial owner of his father Randy Reger's stock?,Gruber,Civil,Trial,2022-06-07, How did you reach the conclusion that Michael Reger was the beneficial owner of his father Randy Reger's stock?,"['How', 'did', 'you', 'reach', 'the', 'conclusion', 'that', 'Michael', 'Reger', 'was', 'the', 'beneficial', 'owner', 'of', 'his', 'father', 'Randy', 'Reger', ""'s"", 'stock', '?']",UNLABELED,0.0,[],,,,,,
27.0,A:," I reviewed documents and I reviewed testimony, sworn testimony.",Gruber,Civil,Trial,2022-06-07," I reviewed documents and I reviewed testimony, sworn testimony.","['I', 'reviewed', 'documents', 'and', 'I', 'reviewed', 'testimony', ',', 'sworn', 'testimony', '.']",UNLABELED,0.0,[],,,,,,
28.0,Q:, I'm going to show you again Plaintiff's Exhibt 1046 which is in evidence.,Gruber,Civil,Trial,2022-06-07, I'm going to show you again Plaintiff's Exhibt 1046 which is in evidence.,"['I', ""'m"", 'going', 'to', 'show', 'you', 'again', 'Plaintiff', ""'s"", 'Exhibt', '1046', 'which', 'is', 'in', 'evidence', '.']",UNLABELED,0.0,[],,,,,,
29.0,,Can we just go back up and just see the full document first.,Gruber,Civil,Trial,2022-06-07,Can we just go back up and just see the full document first.,"['Can', 'we', 'just', 'go', 'back', 'up', 'and', 'just', 'see', 'the', 'full', 'document', 'first', '.']",TR,0.0,[],,,,,,
30.0,,Now if we can zoom in.,Gruber,Civil,Trial,2022-06-07,Now if we can zoom in.,"['Now', 'if', 'we', 'can', 'zoom', 'in', '.']",UNLABELED,0.0,[],,,,,,
31.0,,"So directing your attention there to the middle of the page, what date were Randy's transfers purportedly made?",Gruber,Civil,Trial,2022-06-07,"So directing your attention there to the middle of the page, what date were Randy's transfers purportedly made?","['So', 'directing', 'your', 'attention', 'there', 'to', 'the', 'middle', 'of', 'the', 'page', ',', 'what', 'date', 'were', 'Randy', ""'s"", 'transfers', 'purportedly', 'made', '?']",UNLABELED,0.0,[],,,,,,
