Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
0.0,,"M67sGRU1 -Redacted UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK                x JON D. GRUBER, individually and on behalf of those all others similarly situated, Plaintiffs, New York, N.Y. v. 16 Civ.",Gruber,Civil,Trial,2022-06-07,"M67sGRU1 -Redacted UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK x JON D. GRUBER, individually and on behalf of those all others similarly situated, Plaintiffs, New York, N.Y. v. 16 Civ.","['M67sGRU1', '-Redacted', 'UNITED', 'STATES', 'DISTRICT', 'COURT', 'SOUTHERN', 'DISTRICT', 'OF', 'NEW', 'YORK', 'x', 'JON', 'D.', 'GRUBER', ',', 'individually', 'and', 'on', 'behalf', 'of', 'those', 'all', 'others', 'similarly', 'situated', ',', 'Plaintiffs', ',', 'New', 'York', ',', 'N.Y.', 'v.', '16', 'Civ', '.']",UNUSED,,,,,,,,
1.0,,"09727 (JSR) MICHAEL L. REGER, Defendant.",Gruber,Civil,Trial,2022-06-07,"09727 (JSR) MICHAEL L. REGER, Defendant.","['09727', '(', 'JSR', ')', 'MICHAEL', 'L.', 'REGER', ',', 'Defendant', '.']",UNLABELED,0.0,[],,,,,,
2.0,,"x Trial June 7, 2022 9:12 a.m. Before: HON.",Gruber,Civil,Trial,2022-06-07,"x Trial June 7, 2022 9:12 a.m. Before: HON.","['x', 'Trial', 'June', '7', ',', '2022', '9:12', 'a.m.', 'Before', ':', 'HON', '.']",TST,1.0,"[{'text': 'June 7, 2022', 'score': 0.834, 'start_pos': 8, 'end_pos': 20}]","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Trial xxxJune 7, 2022xxx 9:12 a.m. Before: HON.",2022-06-07 00:00:00,,
3.0,THE COURT:, Let's get the witness on the stand.,Gruber,Civil,Trial,2022-06-07, Let's get the witness on the stand.,"['Let', ""'s"", 'get', 'the', 'witness', 'on', 'the', 'stand', '.']",UNLABELED,0.0,[],,,,,,
4.0,,Please be seated.,Gruber,Civil,Trial,2022-06-07,Please be seated.,"['Please', 'be', 'seated', '.']",UNLABELED,0.0,[],,,,,,
5.0,,(Jury present) Please be seated.,Gruber,Civil,Trial,2022-06-07,(Jury present) Please be seated.,"['(', 'Jury', 'present', ')', 'Please', 'be', 'seated', '.']",UNLABELED,0.0,[],,,,,,
6.0,,"Good morning, ladies and gentlemen.",Gruber,Civil,Trial,2022-06-07,"Good morning, ladies and gentlemen.","['Good', 'morning', ',', 'ladies', 'and', 'gentlemen', '.']",UNLABELED,0.0,[],,,,,,
7.0,,Thank you very much for your promptness.,Gruber,Civil,Trial,2022-06-07,Thank you very much for your promptness.,"['Thank', 'you', 'very', 'much', 'for', 'your', 'promptness', '.']",UNLABELED,0.0,[],,,,,,
8.0,,"You were all on time, counsel were all on time, but I got waylaid and I was late.",Gruber,Civil,Trial,2022-06-07,"You were all on time, counsel were all on time, but I got waylaid and I was late.","['You', 'were', 'all', 'on', 'time', ',', 'counsel', 'were', 'all', 'on', 'time', ',', 'but', 'I', 'got', 'waylaid', 'and', 'I', 'was', 'late', '.']",UNLABELED,0.0,[],,,,,,
9.0,,So the issue is whether I should hold myself in contempt of court.,Gruber,Civil,Trial,2022-06-07,So the issue is whether I should hold myself in contempt of court.,"['So', 'the', 'issue', 'is', 'whether', 'I', 'should', 'hold', 'myself', 'in', 'contempt', 'of', 'court', '.']",UNLABELED,0.0,[],,,,,,
10.0,,"I seriously considered it, but I then made a mercy pitch to myself which was very convincing.",Gruber,Civil,Trial,2022-06-07,"I seriously considered it, but I then made a mercy pitch to myself which was very convincing.","['I', 'seriously', 'considered', 'it', ',', 'but', 'I', 'then', 'made', 'a', 'mercy', 'pitch', 'to', 'myself', 'which', 'was', 'very', 'convincing', '.']",UNLABELED,0.0,[],,,,,,
11.0,,"So I'm letting myself off the hook this once, but only this once.",Gruber,Civil,Trial,2022-06-07,"So I'm letting myself off the hook this once, but only this once.","['So', 'I', ""'m"", 'letting', 'myself', 'off', 'the', 'hook', 'this', 'once', ',', 'but', 'only', 'this', 'once', '.']",UNLABELED,0.0,[],,,,,,
12.0,,"In all seriousness, I am very grateful to you for being on time, and I will be sure not to be late myself again.",Gruber,Civil,Trial,2022-06-07,"In all seriousness, I am very grateful to you for being on time, and I will be sure not to be late myself again.","['In', 'all', 'seriousness', ',', 'I', 'am', 'very', 'grateful', 'to', 'you', 'for', 'being', 'on', 'time', ',', 'and', 'I', 'will', 'be', 'sure', 'not', 'to', 'be', 'late', 'myself', 'again', '.']",UNLABELED,0.0,[],,,,,,
