Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
0.0,,"IN THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT OF MISSOURI EASTERN DIVISION LADY MAAKIA SMITH, ) ) Plaintiff, ) ) vs. ) No.",Hill,Civil,Trial,2022-05-17,"IN THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT OF MISSOURI EASTERN DIVISION LADY MAAKIA SMITH, ) ) Plaintiff, ) ) vs. ) No.","['IN', 'THE', 'UNITED', 'STATES', 'DISTRICT', 'COURT', 'FOR', 'THE', 'EASTERN', 'DISTRICT', 'OF', 'MISSOURI', 'EASTERN', 'DIVISION', 'LADY', 'MAAKIA', 'SMITH', ',', ')', ')', 'Plaintiff', ',', ')', ')', 'vs.', ')', 'No', '.']",UNLABELED,0.0,[],,,,,,
1.0,,"4:20-CV-00804-JMB ) ADVANCED CORRECTIONAL ) HEALTHCARE, et al., ) ) May 17, 2022 Defendants. )",Hill,Civil,Trial,2022-05-17,"4:20-CV-00804-JMB ) ADVANCED CORRECTIONAL ) HEALTHCARE, et al., ) ) May 17, 2022 Defendants. )","['4:20-CV-00804-JMB', ')', 'ADVANCED', 'CORRECTIONAL', ')', 'HEALTHCARE', ',', 'et', 'al.', ',', ')', ')', 'May', '17', ',', '2022', 'Defendants', '.', ')']",TST,1.0,"[{'text': 'May 17, 2022', 'score': 0.857, 'start_pos': 68, 'end_pos': 80}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O']","4:20-CV-00804-JMB ) ADVANCED CORRECTIONAL ) HEALTHCARE, et al., ) ) xxxMay 17, 2022xxx Defendants. )",2022-05-17 00:00:00,,
2.0,FOR PLAINTIFF:," Charles C. Eblen, Esq.",Hill,Civil,Trial,2022-05-17," Charles C. Eblen, Esq.","['Charles', 'C.', 'Eblen', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
3.0,,"Brandon Gutshall, Esq.",Hill,Civil,Trial,2022-05-17,"Brandon Gutshall, Esq.","['Brandon', 'Gutshall', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
4.0,,"Lindsey Heinz, Esq.",Hill,Civil,Trial,2022-05-17,"Lindsey Heinz, Esq.","['Lindsey', 'Heinz', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
5.0,FOR DEFENDANTS:," J. Thaddeus Eckenrode, Esq.",Hill,Civil,Trial,2022-05-17," J. Thaddeus Eckenrode, Esq.","['J.', 'Thaddeus', 'Eckenrode', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
6.0,,"Lisa H. Howe, Esq.",Hill,Civil,Trial,2022-05-17,"Lisa H. Howe, Esq.","['Lisa', 'H.', 'Howe', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
7.0,,Eckenrode Maupin 11477 Olde Cabin Rd.,Hill,Civil,Trial,2022-05-17,Eckenrode Maupin 11477 Olde Cabin Rd.,"['Eckenrode', 'Maupin', '11477', 'Olde', 'Cabin', 'Rd', '.']",UNLABELED,0.0,[],,,,,,
8.0,A:," Esposito, RPR, CRR, CRC U.S. District Court 111 South 10th Street St. Louis, MO 63102 (314) 244-7739 Laura_Esposito@moed.uscourts.gov PRODUCED BY COURT REPORTER COMPUTER-AIDED TRANSCRIPTION 5/17/22 -Pg.",Hill,Civil,Trial,2022-05-17," Esposito, RPR, CRR, CRC U.S. District Court 111 South 10th Street St. Louis, MO 63102 (314) 244-7739 Laura_Esposito@moed.uscourts.gov PRODUCED BY COURT REPORTER COMPUTER-AIDED TRANSCRIPTION 5/17/22 -Pg.","['Esposito', ',', 'RPR', ',', 'CRR', ',', 'CRC', 'U.S.', 'District', 'Court', '111', 'South', '10th', 'Street', 'St.', 'Louis', ',', 'MO', '63102', '(', '314', ')', '244-7739', 'Laura_Esposito', '@', 'moed.uscourts.gov', 'PRODUCED', 'BY', 'COURT', 'REPORTER', 'COMPUTER-AIDED', 'TRANSCRIPTION', '5/17/22', '-Pg', '.']",TST,1.0,"[{'text': '5/17/22 -Pg', 'score': 0.662, 'start_pos': 191, 'end_pos': 202}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O']","Esposito, RPR, CRR, CRC U.S. District Court 111 South 10th Street St. Louis, MO 63102 (314) 244-7739 Laura_Esposito@moed.uscourts.gov PRODUCED BY COURT REPORTER COMPUTER-AIDED TRANSCRIPTION xxx5/17/22xxx -Pg.",2022-05-17 00:00:00,,
9.0,,1 INDEX OF WITNESS EXAMINATION DX CX R-DX R-CX FR-DX Lady Maakia Smith Kathleen Ratcliff  42 118  85  116 *  *  *  * (Proceedings  convened  in  open  court  at  8:00  a.m.)  (The following proceedings were taken outside the presence of the jury.),Hill,Civil,Trial,2022-05-17,1 INDEX OF WITNESS EXAMINATION DX CX R-DX R-CX FR-DX Lady Maakia Smith Kathleen Ratcliff 42 118 85 116 * * * * (Proceedings convened in open court at 8:00 a.m.) (The following proceedings were taken outside the presence of the jury.),"['1', 'INDEX', 'OF', 'WITNESS', 'EXAMINATION', 'DX', 'CX', 'R-DX', 'R-CX', 'FR-DX', 'Lady', 'Maakia', 'Smith', 'Kathleen', 'Ratcliff', '42', '118', '85', '116', '*', '*', '*', '*', '(', 'Proceedings', 'convened', 'in', 'open', 'court', 'at', '8:00', 'a.m.', ')', '(', 'The', 'following', 'proceedings', 'were', 'taken', 'outside', 'the', 'presence', 'of', 'the', 'jury', '.', ')']",TST,0.0,[],,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
