Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
0.0,,"  UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK   x   HERMÈS INTERNATIONAL, et al.,   Plaintiffs,   v. 22 Civ.",Hermes,Civil,Trial,2023-02-26," UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK x HERMÈS INTERNATIONAL, et al., Plaintiffs, v. 22 Civ.","['UNITED', 'STATES', 'DISTRICT', 'COURT', 'SOUTHERN', 'DISTRICT', 'OF', 'NEW', 'YORK', 'x', 'HERMÈS', 'INTERNATIONAL', ',', 'et', 'al.', ',', 'Plaintiffs', ',', 'v.', '22', 'Civ', '.']",UNUSED,,,,,,,,
1.0,,"384 (JSR)   MASON ROTHSCHILD,   Defendant.",Hermes,Civil,Trial,2023-02-26,"384 (JSR) MASON ROTHSCHILD, Defendant.","['384', '(', 'JSR', ')', 'MASON', 'ROTHSCHILD', ',', 'Defendant', '.']",UNLABELED,0.0,[],,,,,,
2.0,,"Trial     Before:  x New York, N.Y. February 6, 2023 :30 a.m.  HON.",Hermes,Civil,Trial,2023-02-26,"Trial Before: x New York, N.Y. February 6, 2023 :30 a.m. HON.","['Trial', 'Before', ':', 'x', 'New', 'York', ',', 'N.Y.', 'February', '6', ',', '2023', ':30', 'a.m.', 'HON', '.']",TR,1.0,"[{'text': 'February 6, 2023', 'score': 0.835, 'start_pos': 36, 'end_pos': 52}]","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O']",,,,,
3.0,JONATHAN A:," HARRIS LEX LUMINA PLLC   Attorneys for Defendant BY: RHETT O. MILLSAPS, II  CHRISTOPHER SPRIGMAN      (Trial resumed; jury not present)   THE COURT: All right.",Hermes,Civil,Trial,2023-02-26," HARRIS LEX LUMINA PLLC Attorneys for Defendant BY: RHETT O. MILLSAPS, II CHRISTOPHER SPRIGMAN (Trial resumed; jury not present) THE COURT: All right.","['HARRIS', 'LEX', 'LUMINA', 'PLLC', 'Attorneys', 'for', 'Defendant', 'BY', ':', 'RHETT', 'O.', 'MILLSAPS', ',', 'II', 'CHRISTOPHER', 'SPRIGMAN', '(', 'Trial', 'resumed', ';', 'jury', 'not', 'present', ')', 'THE', 'COURT', ':', 'All', 'right', '.']",UNLABELED,0.0,[],,,,,,
4.0,,"So let me thank counsel for both sides for their   letters submitted over the weekend, which I have carefully   reviewed.",Hermes,Civil,Trial,2023-02-26,"So let me thank counsel for both sides for their letters submitted over the weekend, which I have carefully reviewed.","['So', 'let', 'me', 'thank', 'counsel', 'for', 'both', 'sides', 'for', 'their', 'letters', 'submitted', 'over', 'the', 'weekend', ',', 'which', 'I', 'have', 'carefully', 'reviewed', '.']",TR,1.0,"[{'text': 'the weekend', 'score': 0.955, 'start_pos': 74, 'end_pos': 85}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O']",,,,,
5.0,,Is there anything further that defense counsel wants   to say on the issue of whether or not to allow the supplemental   report and corresponding supplemental testimony by Dr. Neal?,Hermes,Civil,Trial,2023-02-26,Is there anything further that defense counsel wants to say on the issue of whether or not to allow the supplemental report and corresponding supplemental testimony by Dr. Neal?,"['Is', 'there', 'anything', 'further', 'that', 'defense', 'counsel', 'wants', 'to', 'say', 'on', 'the', 'issue', 'of', 'whether', 'or', 'not', 'to', 'allow', 'the', 'supplemental', 'report', 'and', 'corresponding', 'supplemental', 'testimony', 'by', 'Dr.', 'Neal', '?']",UNLABELED,0.0,[],,,,,,
6.0,MR. SPRIGMAN:," Your Honor, very briefly, the issue   here is one of the evidence and the effect of Dr. Isaacson's   report.",Hermes,Civil,Trial,2023-02-26," Your Honor, very briefly, the issue here is one of the evidence and the effect of Dr. Isaacson's report.","['Your', 'Honor', ',', 'very', 'briefly', ',', 'the', 'issue', 'here', 'is', 'one', 'of', 'the', 'evidence', 'and', 'the', 'effect', 'of', 'Dr.', 'Isaacson', ""'s"", 'report', '.']",UNLABELED,0.0,[],,,,,,
7.0,,The Hermès mark is either in the claim or out.,Hermes,Civil,Trial,2023-02-26,The Hermès mark is either in the claim or out.,"['The', 'Hermès', 'mark', 'is', 'either', 'in', 'the', 'claim', 'or', 'out', '.']",UNUSED,,,,,,,,
8.0,,"In the complaint, there are many paragraphs   148,   165, 166, 169   where Hermès makes clear that the Hermès word   mark is in the claim.",Hermes,Civil,Trial,2023-02-26,"In the complaint, there are many paragraphs 148, 165, 166, 169 where Hermès makes clear that the Hermès word mark is in the claim.","['In', 'the', 'complaint', ',', 'there', 'are', 'many', 'paragraphs', '148', ',', '165', ',', '166', ',', '169', 'where', 'Hermès', 'makes', 'clear', 'that', 'the', 'Hermès', 'word', 'mark', 'is', 'in', 'the', 'claim', '.']",UNUSED,,,,,,,,
9.0,,Now it's out.,Hermes,Civil,Trial,2023-02-26,Now it's out.,"['Now', 'it', ""'s"", 'out', '.']",UNLABELED,0.0,[],,,,,,
