Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
0.0,,"TRANSCRIPT OF THE POOL TV FEED FROM DEPP v HEARD FAIRFAX COUNTY COURT Tuesday 12 April 2022
PROFESSIONALLY TRANSCRIBED.",Depp,Civil,,2022-04-12,TRANSCRIPT OF THE POOL TV FEED FROM DEPP v HEARD FAIRFAX COUNTY COURT Tuesday 12 April 2022 PROFESSIONALLY TRANSCRIBED.,"['TRANSCRIPT', 'OF', 'THE', 'POOL', 'TV', 'FEED', 'FROM', 'DEPP', 'v', 'HEARD', 'FAIRFAX', 'COUNTY', 'COURT', 'Tuesday', '12', 'April', '2022', 'PROFESSIONALLY', 'TRANSCRIBED', '.']",TR,1.0,"[{'text': 'Tuesday', 'score': 0.967, 'start_pos': 70, 'end_pos': 77}, {'text': '12 April 2022', 'score': 0.905, 'start_pos': 78, 'end_pos': 91}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O']",,,,,
1.0,,THIS IS NOT AN OFFICIAL COURT TRANSCRIPT AND SHOULD ONLY BE USED FOR GUIDANCE.,Depp,Civil,,2022-04-12,THIS IS NOT AN OFFICIAL COURT TRANSCRIPT AND SHOULD ONLY BE USED FOR GUIDANCE.,"['THIS', 'IS', 'NOT', 'AN', 'OFFICIAL', 'COURT', 'TRANSCRIPT', 'AND', 'SHOULD', 'ONLY', 'BE', 'USED', 'FOR', 'GUIDANCE', '.']",UNLABELED,0.0,[],,,,,,
2.0,Bailiff:, Court is now in session.,Depp,Civil,,2022-04-12, Court is now in session.,"['Court', 'is', 'now', 'in', 'session', '.']",UNLABELED,0.0,[],,,,,,
3.0,,The Honorable Penney Azcarate is presiding.,Depp,Civil,,2022-04-12,The Honorable Penney Azcarate is presiding.,"['The', 'Honorable', 'Penney', 'Azcarate', 'is', 'presiding', '.']",UNLABELED,0.0,[],,,,,,
4.0,,"Please be seated, everyone.",Depp,Civil,,2022-04-12,"Please be seated, everyone.","['Please', 'be', 'seated', ',', 'everyone', '.']",UNLABELED,0.0,[],,,,,,
5.0,Judge Azcarate:," Good morning, Judy.",Depp,Civil,,2022-04-12," Good morning, Judy.","['Good', 'morning', ',', 'Judy', '.']",UNLABELED,0.0,[],,,,,,
6.0,,Can you hear everything okay today?,Depp,Civil,,2022-04-12,Can you hear everything okay today?,"['Can', 'you', 'hear', 'everything', 'okay', 'today', '?']",TR,1.0,"[{'text': 'today', 'score': 0.946, 'start_pos': 29, 'end_pos': 34}]","['O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,,
7.0,,"Okay, good.",Depp,Civil,,2022-04-12,"Okay, good.","['Okay', ',', 'good', '.']",UNLABELED,0.0,[],,,,,,
8.0,,"All right, good morning.",Depp,Civil,,2022-04-12,"All right, good morning.","['All', 'right', ',', 'good', 'morning', '.']",UNLABELED,0.0,[],,,,,,
9.0,,All right.,Depp,Civil,,2022-04-12,All right.,"['All', 'right', '.']",UNUSED,0.0,[],,,,,,
10.0,,Do we have any preliminary matters before the jury comes out?,Depp,Civil,,2022-04-12,Do we have any preliminary matters before the jury comes out?,"['Do', 'we', 'have', 'any', 'preliminary', 'matters', 'before', 'the', 'jury', 'comes', 'out', '?']",UNLABELED,0.0,[],,,,,,
11.0,Mr. Chew:," Yes, Your Honor.",Depp,Civil,,2022-04-12," Yes, Your Honor.","['Yes', ',', 'Your', 'Honor', '.']",UNUSED,0.0,[],,,,,,
12.0,,We would just ask Your Honor to please publish our very demonstrative exhibit.,Depp,Civil,,2022-04-12,We would just ask Your Honor to please publish our very demonstrative exhibit.,"['We', 'would', 'just', 'ask', 'Your', 'Honor', 'to', 'please', 'publish', 'our', 'very', 'demonstrative', 'exhibit', '.']",UNLABELED,0.0,[],,,,,,
13.0,Judge Azcarate:, All right.,Depp,Civil,,2022-04-12, All right.,"['All', 'right', '.']",UNUSED,0.0,[],,,,,,
14.0,,There's no objection to that?,Depp,Civil,,2022-04-12,There's no objection to that?,"['There', ""'s"", 'no', 'objection', 'to', 'that', '?']",UNLABELED,0.0,[],,,,,,
15.0,,"People have changed places here, I just want to make sure I look at the right place.",Depp,Civil,,2022-04-12,"People have changed places here, I just want to make sure I look at the right place.","['People', 'have', 'changed', 'places', 'here', ',', 'I', 'just', 'want', 'to', 'make', 'sure', 'I', 'look', 'at', 'the', 'right', 'place', '.']",UNLABELED,0.0,[],,,,,,
16.0,,"Okay, we're good.",Depp,Civil,,2022-04-12,"Okay, we're good.","['Okay', ',', 'we', ""'re"", 'good', '.']",UNLABELED,0.0,[],,,,,,
17.0,Mr. Chew:," It's a blank screen right now, so we would ask to publish it now.",Depp,Civil,,2022-04-12," It's a blank screen right now, so we would ask to publish it now.","['It', ""'s"", 'a', 'blank', 'screen', 'right', 'now', ',', 'so', 'we', 'would', 'ask', 'to', 'publish', 'it', 'now', '.']",UNLABELED,0.0,[],,,,,,
18.0,Judge Azcarate:, Okay.,Depp,Civil,,2022-04-12, Okay.,"['Okay', '.']",UNUSED,0.0,[],,,,,,
19.0,,I'm assuming it'.,Depp,Civil,,2022-04-12,I'm assuming it'.,"['I', ""'m"", 'assuming', 'it', ""'"", '.']",UNLABELED,0.0,[],,,,,,
20.0,"
Mr. Chew:"," We tried it out beforehand, it seemed to work.",Depp,Civil,,2022-04-12," We tried it out beforehand, it seemed to work.","['We', 'tried', 'it', 'out', 'beforehand', ',', 'it', 'seemed', 'to', 'work', '.']",UNLABELED,0.0,[],,,,,,
21.0,Judge Azcarate:," If it's a blank screen, it's hard to see if it's working or not.",Depp,Civil,,2022-04-12," If it's a blank screen, it's hard to see if it's working or not.","['If', 'it', ""'s"", 'a', 'blank', 'screen', ',', 'it', ""'s"", 'hard', 'to', 'see', 'if', 'it', ""'s"", 'working', 'or', 'not', '.']",UNLABELED,0.0,[],,,,,,
22.0,Mr. Chew:, Understood.,Depp,Civil,,2022-04-12, Understood.,"['Understood', '.']",UNUSED,0.0,[],,,,,,
23.0,Judge Azcarate:, It is published.,Depp,Civil,,2022-04-12, It is published.,"['It', 'is', 'published', '.']",UNLABELED,0.0,[],,,,,,
24.0,Mr. Chew:," Thank you, Your Honor.",Depp,Civil,,2022-04-12," Thank you, Your Honor.","['Thank', 'you', ',', 'Your', 'Honor', '.']",UNUSED,0.0,[],,,,,,
25.0,Judge Azcarate:," But it's just a blank screen, I guess.",Depp,Civil,,2022-04-12," But it's just a blank screen, I guess.","['But', 'it', ""'s"", 'just', 'a', 'blank', 'screen', ',', 'I', 'guess', '.']",UNLABELED,0.0,[],,,,,,
26.0,,Okay.,Depp,Civil,,2022-04-12,Okay.,"['Okay', '.']",UNUSED,0.0,[],,,,,,
27.0,,"We're going to hope that's it, then.",Depp,Civil,,2022-04-12,"We're going to hope that's it, then.","['We', ""'re"", 'going', 'to', 'hope', 'that', ""'s"", 'it', ',', 'then', '.']",UNLABELED,0.0,[],,,,,,
28.0,,All right.,Depp,Civil,,2022-04-12,All right.,"['All', 'right', '.']",UNUSED,0.0,[],,,,,,
29.0,,Thank you.,Depp,Civil,,2022-04-12,Thank you.,"['Thank', 'you', '.']",UNUSED,0.0,[],,,,,,
30.0,,Anything other else we have?,Depp,Civil,,2022-04-12,Anything other else we have?,"['Anything', 'other', 'else', 'we', 'have', '?']",UNLABELED,0.0,[],,,,,,
