Sentence,Case_Name,Transcript_Date,Sentence_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date,Anchor_Date_Type,Annotator_Source
"Trial June 7, 2022 9:12 a.m. Before: HON.",Gruber,2022-06-07 00:00:00,"Trial xxxJune 7, 2022xxx 9:12 a.m. Before: HON.",2022-06-07 00:00:00,,,,EJG
"This letter says Randy sold a total of let me shorten it to 1.5 million shares on February 2, 2011.",Gruber,2022-06-07 00:00:00,"This letter says Randy sold a total of  let me shorten it to 1.5 million shares on xxxFebruary 2, 2011xxx.",2011-02-02 00:00:00,,,,EJG
"For the prior fiscal year, slightly material transactions which are defined as among other things transactions involving more than $120,000.",Gruber,2022-06-07 00:00:00,"For xxxthe prior fiscal yearxxx, slightly material transactions which are defined as among other things transactions involving more than $120,000.",FYXXXX,FY2010--2011,2011,coref,EJG
"It was filed in November, correct?",Gruber,2022-06-07 00:00:00,"It was filed in xxxNovemberxxx, correct?",XXXX-11,,,,EJG
"In each of the next two years, there was a renegotiation of the consolidated notes and so in the first 10-K for the year after for the December 2012, they would have had to disclose one of those and aaanext yearaaa they would have had to disclose another.",Gruber,2022-06-07 00:00:00,"In xxxeach of the next two yearsxxx, there was a renegotiation of the consolidated notes and so in the first 10-K yyyfor the year afteryyy  zzzfor the December 2012zzz, they would have had to disclose one of those and aaanext yearaaa they would have had to disclose another.","2012,,,2013,,,2012-12, 2013",,2012-12;; 2012-12;; 2012-12,,EJG
Before testifying here today?,Gruber,2022-06-07 00:00:00,Before testifying here xxxtodayxxx?,2022-06-07 00:00:00,,2022-06-07,trans,EJG
"And the first, what does the first rule relate to?",Gruber,2022-06-07 00:00:00,"And the first, what does the first rule relate to?",,,,,EJG
"Professor Thel, did you prepare a glossary that explained the terms that you testified to today?",Gruber,2022-06-07 00:00:00,"Professor Thel, did you prepare a glossary that explained the terms that you testified to xxxtodayxxx?",2022-06-07 00:00:00,,2022-06-07,trans,EJG
"As part of your work for that retainer, you reviewed all the trading records during the first 20 days Dakota Plains traded?",Gruber,2022-06-07 00:00:00,"As part of your work for that retainer, you reviewed all the trading records during xxxthe first 20 daysxxx Dakota Plains traded?",XXXX-XX-XX/-P20D,XXXX-XX-XX/-P20D---NA,,,EJG
"It did show report that the consequences of the $12, roughly $12 share price which was apparently manipulated, had the consequence of the very large payout.",Gruber,2022-06-07 00:00:00,"It did show report that the consequences of the $12, roughly $12 share price which was apparently manipulated, had the consequence of the very large payout.",,,,,EJG
It would have been filed a little later.,Gruber,2022-06-07 00:00:00,It would have been filed a little later.,,,,,EJG
Under section 13(d)?,Gruber,2022-06-07 00:00:00,Under section 13(d)?,,,,,EJG
"Um, I believe I saw audit and financials in subsequent 10-Ks.",Gruber,2022-06-07 00:00:00,"Um, I believe I saw audit and financials in subsequent 10-Ks.",,,,,EJG
"Ladies and gentlemen, I explained to you yesterday that some witnesses won't be here live, but their depositions were taken.",Gruber,2022-06-07 00:00:00,"Ladies and gentlemen, I explained to you xxxyesterdayxxx that some witnesses won't be here live, but their depositions were taken.",2022-06-06 00:00:00,,2022-06-07,trans,EJG
"The next exhibit is a written action of the stockholders of things Plains Transport, Inc., effective June 20, 2011.",Gruber,2022-06-07 00:00:00,"The next exhibit is a written action of the stockholders of things Plains Transport, Inc., effective xxxJune 20, 2011xxx.",2011-06-20 00:00:00,,,,EJG
"Late 2000s, somewhere maybe 2012 I want to say.",Gruber,2022-06-07 00:00:00,"xxxLate 2000sxxx, yyysomewhere maybe 2012yyy I want to say.","200X,,,2012","200X---NA,,,2012---NA",,,Consensus
"It indicates as of November 2011 your address as 3038 1/2 R Street, Northwest, Washington, DC, 20007.",Gruber,2022-06-07 00:00:00,"It indicates as of xxxNovember 2011xxx your address as 3038 1/2 R Street, Northwest, Washington, DC, 20007.",2011-11-01 00:00:00,,,,EJG
"The next exhibit is an account statement from Agency Trading Group Inc., for the period July 1, 2012, to July 31, 2012.",Gruber,2022-06-07 00:00:00,"The next exhibit is an account statement from Agency Trading Group Inc., for the period xxxJuly 1, 2012, to July 31, 2012xxx.",2012-07-01/2012-07-31,"2012-07-01---NA,,,2012-07-31---NA",,,EJG
"The next exhibit is on the letterhead of Joseph C. Reger dated November 5, 2012, addressed to Agency Trading Group.",Gruber,2022-06-07 00:00:00,"The next exhibit is on the letterhead of Joseph C. Reger dated xxxNovember 5, 2012xxx, addressed to Agency Trading Group.",2012-11-05 00:00:00,,,,EJG
"We've looked at, I think, a couple of similar looking letters today as to this one.",Gruber,2022-06-07 00:00:00,"We've looked at, I think, a couple of similar looking letters xxxtodayxxx as to this one.",2022-06-07 00:00:00,,,trans,Consensus
"Today is November 23rd, 2022, and the time on the video screen is 8:08 a.m. Eastern Standard Time.",Fauci,2022-11-23 00:00:00,"xxxTodayxxx is xxxNovember 23rd, 2022xxx, and the time on the video screen is 8:08 a.m. Eastern Standard Time.","2022-11-23,,,2022-11-23",,,trans,EJG
"This deposition is being conducted at the NIAID at 31 Center Drive in Bethesda, Maryland.",Fauci,2022-11-23 00:00:00,"This deposition is being conducted at the NIAID at 31 Center Drive in Bethesda, Maryland.",,,,,EJG
"The reporter today is Stephanie Barnes, and my name is Daniel Holmstock.",Fauci,2022-11-23 00:00:00,"The reporter xxxtodayxxx is Stephanie Barnes, and my name is Daniel Holmstock.",2022-11-23 00:00:00,2022-11-23 00:00:00,,,Consensus
"You know, I don't know exactly the time, but it was probably anywhere between 15 and 20-plus years ago.",Fauci,2022-11-23 00:00:00,"You know, I don't know exactly the time, but it was xxxprobably anywhere between 15 and 20-plus years agoxxx.",XXXX-XX-XX/-P15Y/XXXX-XX-XX/-P20Y,2022/-P15Y---2022/2022/-P20Y---2022,,,EJG
"Dr. Fauci, did you review any documents in preparation for your deposition today?",Fauci,2022-11-23 00:00:00,"Dr. Fauci, did you review any documents in preparation for your deposition xxxtodayxxx?",2022-11-23 00:00:00,,,trans,EJG
"Well, let me ask you this: In 2011, did you coauthor an op-ed with Francis Collins in the Washington Post called ""A Flu Virus Risk Worth Taking""?",Fauci,2022-11-23 00:00:00,"Well, let me ask you this: In xxx2011xxx, did you coauthor an op-ed with Francis Collins in the Washington Post called ""A Flu Virus Risk Worth Taking""?",2011,2011---NA,,,EJG
"At the time, I believe -- and I'm not a hundred percent sure -- but there was a period of time between, I think, 2011 and 2014 or '12 and '14, I'm not sure, when there was a pause that was put on research that was related to the manipulation of the influenza virus in order to get more concrete and more definitive guidelines about what the guardrails of this research should be.",Fauci,2022-11-23 00:00:00,"At the time, I believe and I'm not a hundred percent sure but there was a period of time xxxbetween, I think, 2011 and 2014xxx or yyy'12 and '14yyy, I'm not sure, when there was a pause that was put on research that was related to the manipulation of the influenza virus in order to get more concrete and more definitive guidelines about what the guardrails of this research should be.","2011-XX-XX/2014-XX-XX,,, 2012-XX-XX/2014-XX-XX",,NA/2012-XX-XX/2014-XX-XX,,Consensus
"So if the footnote says 1, I have to find out what 1 is referring to.",Fauci,2022-11-23 00:00:00,"So if the footnote says 1, I have to find out what 1 is referring to.",,,,,EJG
The question is: Are you familiar with the U.S. Government policy adopted in 2014 pausing gain-of-function research on certain viruses?,Fauci,2022-11-23 00:00:00,The question is: Are you familiar with the U.S. Government policy adopted in xxx2014xxx pausing gain-of-function research on certain viruses?,2014,2014---NA,,,EJG
"And to my recollection and, again, this was 2014; so we're talking eight years ago, but my recollection is that the pause was for all research such as this until a new U.S. Government research policy could be developed.",Fauci,2022-11-23 00:00:00,"And to my recollection and, again, this was xxx2014xxx; so we're talking xxxeight years agoxxx, but my recollection is that the pause was for all research such as this until a new U.S. Government research policy could be developed.","2014-XX-XX,,,2022-11-23/-P8Y",,,internal_sent,EJG
It was eight years ago.,Fauci,2022-11-23 00:00:00,It was xxxeight years agoxxx.,2022-11-23/-P8Y,,2022-11-23,trans,EJG
I was not familiar with it when it was published in 2015.,Fauci,2022-11-23 00:00:00,I was not familiar with it when it was published in xxx2015xxx.,2015-XX-XX,,,,EJG
"You know, years is where we are right now.",Fauci,2022-11-23 00:00:00,"You know, xxxyearsxxx is where we are right now.",,,,,EJG
So it wouldn't have been years.,Fauci,2022-11-23 00:00:00,So it wouldn't have been xxxyearsxxx.,,,,,EJG
"So it likely would have been several months, though I'm not a hundred percent certain.",Fauci,2022-11-23 00:00:00,"So it likely would have been xxxseveral months, though I'm not a hundred percent certainxxx.",,,,,EJG
"I think he means I'm speculating I don't recall this e-mail of January 27th, 2020.",Fauci,2022-11-23 00:00:00,"I think he means  I'm speculating   I don't recall this e-mail of xxxJanuary 27th, 2020xxx.",2020-01-27 00:00:00,,,,EJG
"And that, I take it, would be the grant that we referred to earlier in Exhibit 2, with the same title, ""Understanding the risk of bat coronavirus emergence""?",Fauci,2022-11-23 00:00:00,"And that, I take it, would be the grant that we referred to earlier in Exhibit 2, with the same title, ""Understanding the risk of bat coronavirus emergence""?",,,,,EJG
You're being given an exhibit that's labeled Exhibit 6.,Fauci,2022-11-23 00:00:00,You're being given an exhibit that's labeled Exhibit 6.,,,,,EJG
"I would imagine since I am, with all due modesty, recognized as one of the top infectious disease people in the country and the director of the major research institution for infectious diseases in the world that Christian and Jeremy I know I've known Jeremy for a long time that they thought it would be a good idea to give me a call since I'm looked upon, rightly or not, as the top government infectious diseases person, and they felt, I believe you'll have to ask them but I felt they believed, since I'm generally considered the top government infectious disease person, that it would be appropriate to let me know at the same time as we brought in I don't have the list in front of me of the scientists we brought together on the phone call the following day, which was a Saturday let me finish because I think it's important because the people we brought in, we tried to get a large international group of people together so we could have well representation.",Fauci,2022-11-23 00:00:00,"I would imagine since I am, with all due modesty, recognized as one of the top infectious disease people in the country and the director of the major research institution for infectious diseases in the world that Christian and Jeremy I know   I've known Jeremy xxxfor a long timexxx that they thought it would be a good idea to give me a call since I'm looked upon, rightly or not, as the top government infectious diseases person, and they felt, I believe   you'll have to ask them but I felt they believed, since I'm generally considered the top government infectious disease person, that it would be appropriate to let me know at the same time as we brought in   I don't have the list in front of me of the scientists we brought together on the phone call yyythe following day, which was a Saturdayyyy let me finish because I think it's important   because the people we brought in, we tried to get a large international group of people together so we could have well representation.","PX,,,XXXX-XX-XX-06",,2020-02-01,coreference,EJG
Could I pause for a second?,Fauci,2022-11-23 00:00:00,Could I pause for a second?,,,,,EJG
