Sentences,INDX,date_binary,Tags_Clean,Has_Date,Tags_Trim
So-- THE COURT: The lab note that you have that you've shown to the Court has a date of November `94.,227106,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORG', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['So O', '-- O', 'THE O', 'COURT O', ': O', 'The O', 'lab O', 'note O', 'that O', 'you O', 'have O', 'that O', 'you O', ""'ve O"", 'shown O', 'to O', 'the O', 'Court S-ORG', 'has O', 'a O', 'date O', 'of O', 'November B-DATE', '` I-DATE', '94 E-DATE', '. O']"
(PEO'S 7 FOR ID = 1-PG DOC/DV STANDARDS) THE COURT: ALL RIGHT.,17529,['0'],"['O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['( O', ""PEO'S O"", '7 S-CARDINAL', 'FOR O', 'ID O', '= O', '1-PG O', 'DOC O', '/ O', 'DV O', 'STANDARDS O', ') O', 'THE O', 'COURT O', ': O', 'ALL O', 'RIGHT O', '. O']"
"WITH REGARD TO ROCKINGHAM, MR. SIMPSON'S RESIDENCE, AGAIN, I EXPECT THERE WILL BE TESTIMONY THAT MR. SIMPSON DID IN FACT CUT HIS FINGER AT SOME PLACE WHERE I'M POINTING NOW, NEAR THE END OF HIS MIDDLE FINGER, AND HE SO TOLD THE POLICE THAT EVENING, JANUARY 13, AND THAT HE WENT OUT -- HE DID IT EITHER AS HE WAS ABOUT TO LEAVE OR WHEN HE WENT OUT TO THE BRONCO TO GET HIS CELLULAR PHONE.",10033,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-TIME', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['WITH O', 'REGARD O', 'TO O', 'ROCKINGHAM O', ', O', 'MR O', '. O', ""SIMPSON'S O"", 'RESIDENCE O', ', O', 'AGAIN O', ', O', 'I O', 'EXPECT O', 'THERE O', 'WILL O', 'BE O', 'TESTIMONY O', 'THAT O', 'MR O', '. O', 'SIMPSON S-PERSON', 'DID O', 'IN O', 'FACT O', 'CUT O', 'HIS O', 'FINGER O', 'AT O', 'SOME O', 'PLACE O', 'WHERE O', ""I'M O"", 'POINTING O', 'NOW O', ', O', 'NEAR O', 'THE O', 'END O', 'OF O', 'HIS O', 'MIDDLE O', 'FINGER O', ', O', 'AND O', 'HE O', 'SO O', 'TOLD O', 'THE O', 'POLICE O', 'THAT O', 'EVENING S-TIME', ', O', 'JANUARY B-DATE', '13 E-DATE', ', O', 'AND O', 'THAT O', 'HE O', 'WENT O', 'OUT O', '-- O', 'HE O', 'DID O', 'IT O', 'EITHER O', 'AS O', 'HE O', 'WAS O', 'ABOUT O', 'TO O', 'LEAVE O', 'OR O', 'WHEN O', 'HE O', 'WENT O', 'OUT O', 'TO O', 'THE O', 'BRONCO O', 'TO O', 'GET O', 'HIS O', 'CELLULAR O', 'PHONE O', '. O']"
The second big report we put out was in early April and so we started getting ready for that also at this time.,407695,['1'],"['O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['The O', 'second S-ORDINAL', 'big O', 'report O', 'we O', 'put O', 'out O', 'was O', 'in O', 'early B-DATE', 'April E-DATE', 'and O', 'so O', 'we O', 'started O', 'getting O', 'ready O', 'for O', 'that O', 'also O', 'at O', 'this O', 'time O', '. O']"
2 of G-21.,247246,['0'],"['S-CARDINAL', 'O', 'S-ORG', 'O']",1,"['2 S-CARDINAL', 'of O', 'G-21 S-ORG', '. O']"
"The testing on item 13-A, the sock, was on September 20, 1994.",164524,['1'],"['O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['The O', 'testing O', 'on O', 'item O', '13-A S-CARDINAL', ', O', 'the O', 'sock O', ', O', 'was O', 'on O', 'September B-DATE', '20 I-DATE', ', I-DATE', '1994 E-DATE', '. O']"
YOU RECALL ALSO I TOLD YOU LAST WEEK THAT DETECTIVE FUHRMAN HAD PREVIOUSLY HAD CONTACT WITH THE SIMPSONS.,11648,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O']",1,"['YOU O', 'RECALL O', 'ALSO O', 'I O', 'TOLD O', 'YOU O', 'LAST B-DATE', 'WEEK E-DATE', 'THAT O', 'DETECTIVE O', 'FUHRMAN S-PERSON', 'HAD O', 'PREVIOUSLY O', 'HAD O', 'CONTACT O', 'WITH O', 'THE O', 'SIMPSONS S-PERSON', '. O']"
"MR. CLARKE: Since 1989, has your laboratory made or have they typed any false positives in any test?",192260,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'CLARKE S-PERSON', ': O', 'Since B-DATE', '1989 E-DATE', ', O', 'has O', 'your O', 'laboratory O', 'made O', 'or O', 'have O', 'they O', 'typed O', 'any O', 'false O', 'positives O', 'in O', 'any O', 'test O', '? O']"
"May I respond further to you, your Honor?",433088,['0'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['May O', 'I O', 'respond O', 'further O', 'to O', 'you O', ', O', 'your O', 'Honor O', '? O']"
"MR. KELBERG: And, doctor, is this part that you've just outlined on page 2 of the addendum report to reflect what you were talking about when we were looking at the photograph, that is a section on July--I'm sorry--on June 30th of 1994, a section of that contused area of the brain was cut in order to provide for microscopic examination?",237055,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'KELBERG S-PERSON', ': O', 'And O', ', O', 'doctor O', ', O', 'is O', 'this O', 'part O', 'that O', 'you O', ""'ve O"", 'just O', 'outlined O', 'on O', 'page O', '2 S-CARDINAL', 'of O', 'the O', 'addendum O', 'report O', 'to O', 'reflect O', 'what O', 'you O', 'were O', 'talking O', 'about O', 'when O', 'we O', 'were O', 'looking O', 'at O', 'the O', 'photograph O', ', O', 'that O', 'is O', 'a O', 'section O', 'on O', 'July S-DATE', '-- O', 'I O', ""'m O"", 'sorry O', '-- O', 'on O', 'June B-DATE', '30th I-DATE', 'of I-DATE', '1994 E-DATE', ', O', 'a O', 'section O', 'of O', 'that O', 'contused O', 'area O', 'of O', 'the O', 'brain O', 'was O', 'cut O', 'in O', 'order O', 'to O', 'provide O', 'for O', 'microscopic O', 'examination O', '? O']"
