Sentence,Data_Split,Case_Name,Transcript_Date,Case_Type,Transcript_Type,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Annotator_Source,NER_Annotator_Source
"M67sGRU1 -Redacted UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF NEW YORK JON D. GRUBER, individually and on behalf of those all others similarly situated, Plaintiffs, New York, N.Y. v. 16 Civ.",TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"09727 (JSR) MICHAEL L. REGER, Defendant.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Trial June 7, 2022 9:12 a.m. Before: HON.",TST,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'June 7, 2022', 'score': 0.834, 'start_pos': 8, 'end_pos': 20}]","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Trial xxxJune 7, 2022xxx 9:12 a.m. Before: HON.",EJG,
 Let's get the witness on the stand.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Please be seated.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
(Jury present) Please be seated.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Good morning, ladies and gentlemen.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Thank you very much for your promptness.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"You were all on time, counsel were all on time, but I got waylaid and I was late.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
So the issue is whether I should hold myself in contempt of court.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"I seriously considered it, but I then made a mercy pitch to myself which was very convincing.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So I'm letting myself off the hook this once, but only this once.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"In all seriousness, I am very grateful to you for being on time, and I will be sure not to be late myself again.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
So let's continue.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"STEVEN THEL, resumed.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 You can take your mask off.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Good morning, Professor Thel.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Good morning.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Could we put back up Thel Demonstrative Exhibit 5, please.",TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Professor Thel, drawing your attention to the top of that yellow chart, did you analyze whether Michael Reger was the beneficial owner of the stock in his father James Randall Randy Reger's name?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 And what did you conclude?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 I concluded he was.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" How many shares did James Randall Reger, also known as Randy Reger, hold?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" He held about, in record name, about four percent of the outstanding common stock of Dakota Plains.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Could you take down the chart, please.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 How did you reach the conclusion that Michael Reger was the beneficial owner of his father Randy Reger's stock?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" I reviewed documents and I reviewed testimony, sworn testimony.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 I'm going to show you again Plaintiff's Exhibt 1046 which is in evidence.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Can we just go back up and just see the full document first.,TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Now if we can zoom in.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So directing your attention there to the middle of the page, what date were Randy's transfers purportedly made?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" This letter says Randy sold a total of  let me shorten it to 1.5 million shares on February 2, 2011.",TST,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'February 2, 2011', 'score': 0.937, 'start_pos': 84, 'end_pos': 100}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']","This letter says Randy sold a total of  let me shorten it to 1.5 million shares on xxxFebruary 2, 2011xxx.",EJG,
 Showing you Plaintiff's Exhibit 457 now.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Have you seen that before?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I have.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK. Is that one of the documents you relied upon in reaching your conclusions?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I have.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Excuse me.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Your Honor, I move into evidence plaintiff's exhibit  move for admission of Plaintiff's Exhibit 457.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" No objection, your Honor.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Received.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK. What's the date of this letter?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" February 2, 2011, which was the same date referenced in the document we just read.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'February 2, 2011', 'score': 0.761, 'start_pos': 1, 'end_pos': 17}]","['B-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
 OK. Did you review Randy Reger's sworn deposition testimony in this case about this letter?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What did he say?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 He said he had no recollection of writing this letter.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 All right.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Did Randy Reger also provide sworn deposition testimony about his knowledge of Dakota Plains shares being transferred from him to Ryan Gilbertson?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, he did testify to that.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
He said he didn't know why he would.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
He had no recollection of that.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Did you review evidence that Michael Reger beneficially owned any other Dakota Plains' stock?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
I reached the conclusion that he beneficially owned stock in the names of his  in the direct names of his two brothers as opposed to the custodial accounts and also in the direct names of his in-laws and also family foundation.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
