Full_Dataset_Row_Index,Speaker,Sentence,Case_Name,Case_Type,Transcript_Type,Transcript_Date,clean_text,tokenized_text,Data_Split,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date
0.0,,IN THE UNITED STATES DISTRICT COURT FOR THE DISTRICT OF ARIZONA NOAH GONZÃLEZ; JESÃS ) Case No.,Gonzalez,Civil,Trial,2017-06-26,IN THE UNITED STATES DISTRICT COURT FOR THE DISTRICT OF ARIZONA NOAH GONZÃLEZ; JESÃS ) Case No.,"['IN', 'THE', 'UNITED', 'STATES', 'DISTRICT', 'COURT', 'FOR', 'THE', 'DISTRICT', 'OF', 'ARIZONA', 'NOAH', 'GONZÃ\x81LEZ', ';', 'JESÃ\x9aS', ')', 'Case', 'No', '.']",UNUSED,,,,,,,,
1.0,,"4:10-cv-00623-AWT GONZÃLEZ, his father and )next friend, et al., ) )Plaintiffs, )) Tucson, Arizona vs. ) June 26, 2017 ) 9:01 a.m. DIANE DOUGLAS, )Superintendent of Public )Instruction, in her )Official Capacity; et )al., ) )Defendants. )",Gonzalez,Civil,Trial,2017-06-26,"4:10-cv-00623-AWT GONZÃLEZ, his father and )next friend, et al., ) )Plaintiffs, )) Tucson, Arizona vs. ) June 26, 2017 ) 9:01 a.m. DIANE DOUGLAS, )Superintendent of Public )Instruction, in her )Official Capacity; et )al., ) )Defendants. )","['4:10-cv-00623-AWT', 'GONZÃ\x81LEZ', ',', 'his', 'father', 'and', ')', 'next', 'friend', ',', 'et', 'al.', ',', ')', ')', 'Plaintiffs', ',', ')', ')', 'Tucson', ',', 'Arizona', 'vs.', ')', 'June', '26', ',', '2017', ')', '9:01', 'a.m.', 'DIANE', 'DOUGLAS', ',', ')', 'Superintendent', 'of', 'Public', ')', 'Instruction', ',', 'in', 'her', ')', 'Official', 'Capacity', ';', 'et', ')', 'al.', ',', ')', ')', 'Defendants', '.', ')']",UNUSED,,,,,,,,
2.0,A:, Wallace Tashima Transcript of Proceedings Bench Trial Day 1 Proceedings reported and transcript prepared by: ,Gonzalez,Civil,Trial,2017-06-26, Wallace Tashima Transcript of Proceedings Bench Trial Day 1 Proceedings reported and transcript prepared by: ,"['Wallace', 'Tashima', 'Transcript', 'of', 'Proceedings', 'Bench', 'Trial', 'Day', '1', 'Proceedings', 'reported', 'and', 'transcript', 'prepared', 'by', ':']",TST,0.0,[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Wallace Tashima Transcript of Proceedings Bench Trial xxxDay 1xxx Proceedings reported and transcript prepared by:,XXXX-XX-XX,,
3.0,,"Courthouse 405 West Congress, Suite 1500 Tucson, Arizona 85701 (520)205-4266 Proceedings reported by stenographic machine shorthand; transcript prepared using court reporting software.",Gonzalez,Civil,Trial,2017-06-26,"Courthouse 405 West Congress, Suite 1500 Tucson, Arizona 85701 (520)205-4266 Proceedings reported by stenographic machine shorthand; transcript prepared using court reporting software.","['Courthouse', '405', 'West', 'Congress', ',', 'Suite', '1500', 'Tucson', ',', 'Arizona', '85701', '(', '520', ')', '205-4266', 'Proceedings', 'reported', 'by', 'stenographic', 'machine', 'shorthand', ';', 'transcript', 'prepared', 'using', 'court', 'reporting', 'software', '.']",UNLABELED,0.0,[],,,,,,
4.0,"FITZMAURICE, ESQ:"," LUNA N. BARRINGTON, ESQ: 767 Fifth Avenue New York, NY 10153-0119 (212) 310-8000 Law Office of Richard M. Martinez RICHARD M. MARTINEZ P.O.",Gonzalez,Civil,Trial,2017-06-26," LUNA N. BARRINGTON, ESQ: 767 Fifth Avenue New York, NY 10153-0119 (212) 310-8000 Law Office of Richard M. Martinez RICHARD M. MARTINEZ P.O.","['LUNA', 'N.', 'BARRINGTON', ',', 'ESQ', ':', '767', 'Fifth', 'Avenue', 'New', 'York', ',', 'NY', '10153-0119', '(', '212', ')', '310-8000', 'Law', 'Office', 'of', 'Richard', 'M.', 'Martinez', 'RICHARD', 'M.', 'MARTINEZ', 'P.O', '.']",UNLABELED,0.0,[],,,,,,
5.0,Q:," 120 W. 45th Street, 38th Floor New York, NY 10036 (646) 766-0073 Seattle University School of Law Ronald A: Peterson Clinic Robert S. Chang, Esq.",Gonzalez,Civil,Trial,2017-06-26," 120 W. 45th Street, 38th Floor New York, NY 10036 (646) 766-0073 Seattle University School of Law Ronald A: Peterson Clinic Robert S. Chang, Esq.","['120', 'W.', '45th', 'Street', ',', '38th', 'Floor', 'New', 'York', ',', 'NY', '10036', '(', '646', ')', '766-0073', 'Seattle', 'University', 'School', 'of', 'Law', 'Ronald', 'A', ':', 'Peterson', 'Clinic', 'Robert', 'S.', 'Chang', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
6.0,,"1215 E. Columbia St., Law Annex Seattle, Washington 98122-4130 (206) 398-4025 On Behalf of Defendants: Office of the Attorney General Leslie Kyman Cooper, Assistant Attorney General 1275 W. Washington Street Phoenix, AZ 85007-2997 (602) 542-8349 Ellman & Weinzweig, LLC Robert Ellman, Esq.",Gonzalez,Civil,Trial,2017-06-26,"1215 E. Columbia St., Law Annex Seattle, Washington 98122-4130 (206) 398-4025 On Behalf of Defendants: Office of the Attorney General Leslie Kyman Cooper, Assistant Attorney General 1275 W. Washington Street Phoenix, AZ 85007-2997 (602) 542-8349 Ellman & Weinzweig, LLC Robert Ellman, Esq.","['1215', 'E.', 'Columbia', 'St.', ',', 'Law', 'Annex', 'Seattle', ',', 'Washington', '98122-4130', '(', '206', ')', '398-4025', 'On', 'Behalf', 'of', 'Defendants', ':', 'Office', 'of', 'the', 'Attorney', 'General', 'Leslie', 'Kyman', 'Cooper', ',', 'Assistant', 'Attorney', 'General', '1275', 'W.', 'Washington', 'Street', 'Phoenix', ',', 'AZ', '85007-2997', '(', '602', ')', '542-8349', 'Ellman', '&', 'Weinzweig', ',', 'LLC', 'Robert', 'Ellman', ',', 'Esq', '.']",UNLABELED,0.0,[],,,,,,
7.0,EXAMINATIONS WITNESSES:,  PAGE CURTIS ACOSTA Direct Examination By Mr. QuinnCross-Examination By Mr. Ellman Redirect Examination By Mr. Quinn MAYA ARCE Direct Examination By Ms. BarringtonCross-Examination By Ms. CooperRedirect Examination By Ms. Barrington JOHN HUPPENTHAL Direct Examination By Mr. Reiss  36 100 133 137 144 149 151 INDEX  OF  EXHIBITS No.,Gonzalez,Civil,Trial,2017-06-26, PAGE CURTIS ACOSTA Direct Examination By Mr. QuinnCross-Examination By Mr. Ellman Redirect Examination By Mr. Quinn MAYA ARCE Direct Examination By Ms. BarringtonCross-Examination By Ms. CooperRedirect Examination By Ms. Barrington JOHN HUPPENTHAL Direct Examination By Mr. Reiss 36 100 133 137 144 149 151 INDEX OF EXHIBITS No.,"['PAGE', 'CURTIS', 'ACOSTA', 'Direct', 'Examination', 'By', 'Mr.', 'QuinnCross-Examination', 'By', 'Mr.', 'Ellman', 'Redirect', 'Examination', 'By', 'Mr.', 'Quinn', 'MAYA', 'ARCE', 'Direct', 'Examination', 'By', 'Ms.', 'BarringtonCross-Examination', 'By', 'Ms.', 'CooperRedirect', 'Examination', 'By', 'Ms.', 'Barrington', 'JOHN', 'HUPPENTHAL', 'Direct', 'Examination', 'By', 'Mr.', 'Reiss', '36', '100', '133', '137', '144', '149', '151', 'INDEX', 'OF', 'EXHIBITS', 'No', '.']",UNLABELED,0.0,[],,,,,,
8.0,THE COURT:," I ask the clerk to, for the record, call out the name of the case.",Gonzalez,Civil,Trial,2017-06-26," I ask the clerk to, for the record, call out the name of the case.","['I', 'ask', 'the', 'clerk', 'to', ',', 'for', 'the', 'record', ',', 'call', 'out', 'the', 'name', 'of', 'the', 'case', '.']",UNLABELED,0.0,[],,,,,,
9.0,,Will you?,Gonzalez,Civil,Trial,2017-06-26,Will you?,"['Will', 'you', '?']",UNLABELED,0.0,[],,,,,,
