Sentences,Date,Trans_Ind,GL_Simpson_Dates_Ind,SU_TME_Update_ALL,HEIDEL_TME_Update,GL_ISO_DATES_CONVERSION,GL_ISO_DATES_SENT_CONVERSION,Anchor_Date,Anchor_Type,Tags_Clean,GL_TAGS_DATES_CORRECTED,date_binary,Has_Date,Has_DTE_GL,Has_DTE_CTN_GL,Has_DTE_REL_GL,Has_DTE_DUR,Has_DTE_UNCERTN,Has_DTE_CREF,Has_DTE_SET,Has_DTE_OTHER,Has_Age,GL_NER_Test,GL_Date_Norm_Test,Official_Test_NER,Test_NER_Unused,GL_NER
"MR. MARTZ: Yes, I do.",7/25/1995,336561,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, if you wanted the exact quantification of the amount, of the amount of blood that you are testing, you could do the tests that counsel proposed; is that correct?",7/25/1995,336562,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, what that does is determines how many hemoglobin is in the blood, and from that, you can estimate how much blood is present.",7/25/1995,336563,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: All right.,7/25/1995,336564,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, the evidence that you're speaking of that you tested, sir, is that evidence is still in existence?",7/25/1995,336565,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: As far as I know, it is, yes.",7/25/1995,336566,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And are you aware, sir, that the evidence has been in the possession of the Defense on more than one occasion?",7/25/1995,336567,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I am.",7/25/1995,336568,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And could they have conducted the tests they propose to you to conduct in terms of quantifying the amount of blood in any given sample?,7/25/1995,336569,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. BLASIER: Objection.,7/25/1995,336570,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,7/25/1995,336571,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
