Sentences,Date
"LOS ANGELES, CALIFORNIA; WEDNESDAY, JANUARY 11, 1995 9:05 A:M. DEPARTMENT NO.",1/11/1995
103 HON.,1/11/1995
"LANCE A: ITO, JUDGE APPEARANCES: (APPEARANCES AS HERETOFORE NOTED, DEPUTY DISTRICT ATTORNEY HANK; ALSO PRESENT ON BEHALF OF SOJOURN, MS. PAMELA W. WITHEY, ATTORNEY-AT-LAW.)",1/11/1995
"(JANET M. MOXHAM, CSR NO.",1/11/1995
"4855, OFFICIAL REPORTER.)",1/11/1995
"(CHRISTINE M. OLSON, CSR NO.",1/11/1995
"2378, OFFICIAL REPORTER.)",1/11/1995
"(THE FOLLOWING PROCEEDINGS WERE HELD IN OPEN COURT, OUT OF THE PRESENCE OF THE JURY:) THE COURT: ALL RIGHT.",1/11/1995
THE SIMPSON MATTER.,1/11/1995
"MR. COCHRAN: MAY WE APPROACH, YOUR HONOR, AT THE APPROPRIATE TIME?",1/11/1995
THE COURT: AT THE APPROPRIATE TIME?,1/11/1995
"MR. COCHRAN: WHEN YOU DEEM APPROPRIATE, WE WOULD LIKE TO APPROACH.",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"(A CONFERENCE WAS HELD AT THE BENCH, NOT REPORTED.)",1/11/1995
THE COURT: BACK ON THE RECORD IN THE SIMPSON MATTER.,1/11/1995
"MR. SIMPSON IS AGAIN PRESENT BEFORE THE COURT WITH HIS COUNSEL, MR. SHAPIRO, MR. COCHRAN, MR. BAILEY, MR. UELMEN, THE PEOPLE REPRESENTED BY MS. BODIN AND MR. DARDEN TODAY.",1/11/1995
"AND WE HAVE ON A FIRST -- AS OUR FIRST MATTER A MOTION TO QUASH A SUBPOENA DUCES TECUM, AND THAT MOTION WAS FILED BY REPRESENTATIVES OF THE SOJOURN PROGRAM.",1/11/1995
MS. WITHEY.,1/11/1995
MS. WITHEY: PAMELA WITHEY APPEARING FOR SOJOURN.,1/11/1995
"YOUR HONOR, I TRUST THE COURT REVIEWED THE PAPERS AND ALSO THE DISTRICT ATTORNEY'S RESPONSE TO THOSE PAPERS AND -- THE COURT: COUNSEL, WHY DON'T YOU USE THE PODIUM WITH THE MIKE.",1/11/1995
MS. WITHEY: YOUR HONOR HAS HAD THE OPPORTUNITY TO REVIEW THE PAPERS AND THE DISTRICT ATTORNEY DID PREPARE A RESPONSE TO THOSE PAPERS WHICH SETS FORTH THE ISSUES THAT WE WOULD LIKE TO HAVE ADDRESSED.,1/11/1995
"SOJOURN WOULD LIKE TO HAVE CERTAIN SPECIFIC FINDINGS MADE; AND IF THOSE FINDINGS ARE MADE, THEN WE FEEL COMFORTABLE WITH PROVIDING WHATEVER DOCUMENTS ARE LEGALLY ALLOWED TO BE PRODUCED.",1/11/1995
"OUR FIRST CONCERN WAS THAT THE TRUSTEE, LOUIS BROWN, BE AUTHORIZED TO INSTRUCT A COUNSELOR OF THE PROGRAM TO PERMIT DISCLOSURE.",1/11/1995
"SOJOURN IS CONCERNED THAT STRICT CONFIDENTIALITY MAY BE MAINTAINED AS SET FORTH IN THE EVIDENCE CODE, AND WE WANT TO MAKE SURE THAT ANY CONFIDENTIAL COMMUNICATIONS NOT BE COMPELLED.",1/11/1995
"HOWEVER, THE CODE SECTION VERY SPECIFICALLY SETS FORTH CERTAIN CONDITIONS UPON WHICH DISCLOSURE MAY BE COMPELLED BY THE COURT.",1/11/1995
THE SUBPOENA THAT WAS RECEIVED BY THE PROJECT DIRECTOR HAD ATTACHED TO IT A PURPORTED WAIVER EXECUTED BY LOUIS BROWN.,1/11/1995
SO ONE OF OUR FIRST ISSUES WAS WHETHER OR NOT THE TRUSTEE CAN INSTRUCT THE COUNSELOR OF THE PROGRAM TO PERMIT DISCLOSURE AS IS SET FORTH IN THE EVIDENCE CODE.,1/11/1995
"THE SECOND ISSUE IS WHETHER OR NOT THE WAIVER ITSELF, WHICH WAS ATTACHED, IS SUFFICIENT.",1/11/1995
"THERE WAS AN INITIAL WAIVER THAT WAS ATTACHED TO THE SUBPOENA AND THEN SUBSEQUENTLY A DIFFERENT WAIVER WAS PROVIDED BY THE DISTRICT ATTORNEY'S OFFICE WHICH WAS MORE SPECIFIC AND WHICH ADDRESSES ITSELF SPECIFICALLY TO SOJOURN, WHICH I THINK IS BETTER.",1/11/1995
"AND THIRDLY, IF THE COURT FINDS THAT THE TRUSTEE IS AUTHORIZED TO PERMIT -- IS AUTHORIZED TO INSTRUCT THE COUNSELOR TO PERMIT DISCLOSURE AND THE WAIVER IS ADEQUATE TO PERMIT DISCLOSURE, WE WOULD LIKE A FINDING UNDER THE EVIDENCE CODE OF 1037.5, SUBSECTION (C) THAT THE COUNSELOR AND THE PROGRAM MAY NOT CLAIM THE PRIVILEGE.",1/11/1995
"THERE IS, I THINK, I SUBMIT, SOME AMBIGUITY IN THAT PARTICULAR STATUTE.",1/11/1995
I THINK MS. BODIN AND I AGREE THAT THERE IS TWO PARTS TO THAT SECTION.,1/11/1995
"ONE PART SAYS THAT IF A VICTIM IS ALLEGED TO BE DECEASED, THE COURT MAY HAVE AN IN CAMERA HEARING TO DETERMINE IF THE DISCLOSURE CAN BE COMPELLED.",1/11/1995
"IN ANOTHER SECTION, IT SAYS THAT IF THE HOLDER OF THE PRIVILEGE IS DECEASED, THEN THE COUNSELOR MAY NOT CLAIM THE PRIVILEGE.",1/11/1995
SO WE'RE WANTING YOUR HONOR TO MAKE A FINDING THAT THE DOCUMENTS ATTACHED TO THE SUBPOENA ARE APPROPRIATE AND THAT THE PRIVILEGE CANNOT BE CLAIMED BY THE COUNSELOR IF THAT IS THE CASE.,1/11/1995
"IF THAT IS THE CASE, THEN THE -- THEN DISCLOSURE MAY BE MADE.",1/11/1995
"IN ADDITION TO THAT, WE'RE ASKING FOR A MODIFICATION OF ONE OF THE REQUESTS BECAUSE OF THE DEGREE TO WHICH IT WOULD REQUIRE AN EXTENSIVE SEARCH BY SOJOURN, WHICH IS A NONPROFIT ORGANIZATION AND DOES NOT HAVE THE RESOURCES.",1/11/1995
THE COURT: WHAT MODIFICATION ARE YOU ASKING FOR?,1/11/1995
MS. WITHEY: ITEM NO.,1/11/1995
"1 OF THE SUBPOENA ASKS FOR -- REQUESTS DOCUMENTS FROM MARCH 1ST, 1977, WHICH IS WHEN SOJOURN BEGAN, TO JUNE 12, 1994.",1/11/1995
