Unnamed: 0,Sentences,Creation_Date,Date
224374,I don't remember if that was asked or not.,,
224375,MR. SCHECK: Do you recall being asked whether it was normal in your experience at the SID to receive a reference sample envelope that was not sealed?,,
224376,MR. YAMAUCHI: I might have been asked--you want me to just answer the question?,,
224377,MR. SCHECK: I'm asking if you recall saying that on direct.,,
224378,"MR. YAMAUCHI: Well, if I was asked that question, I would say it's not normal, but it's not out of the ordinary or extraordinary.",,
224379,"MR. SCHECK: Well, my first question to you is, do you recall testifying--being asked that question, questions to that effect on direct examination and giving answers about whether it was normal to receive an unsealed envelope with a blood vial?",,
224380,"MR. YAMAUCHI: Somewhere along those lines, it sounds familiar, but I can't be sure if that was asked in exactly that fashion or not.",,
224381,"MR. SCHECK: Do you recall discussing with Mr. Harmon or Mr. Goldberg or any of the Prosecutors the issue of the blood vial, the envelope not being sealed?",,
224382,MR. YAMAUCHI: Yes.,,
224383,MR. SCHECK: How long were those discussions?,,
224384,MR. YAMAUCHI: Not very long at all.,,
224385,"They--they asked me if it was or was not, and I told them no, it wasn't.",,
224386,They asked me if-- MR. SCHECK: Excuse me.,,
224387,"You said no, it wasn't?",,
224388,"MR. HARMON: Your Honor, this is about the hundredth time today.",,
224389,THE COURT: Yes.,,
224390,Mr. Scheck?,,
224391,MR. SCHECK: I'm sorry.,,
224392,I'm sorry.,,
224393,THE COURT: It is at least the 10th time.,,
224394,"There won't be an 11th, will there?",,
224395,"MR. SCHECK: Your Honor, my apologies, but I'm-- THE COURT: Proceed.",,
224396,MR. SCHECK: I'm allowed to object when the answer is not responsive.,,
224397,"THE COURT: You are, but you're not allowed to interrupt the witness when he's testifying.",,
224398,"MR. SCHECK: You go ahead, Mr. Yamauchi.",,
224399,MR. YAMAUCHI: Okay.,,
224400,Where was I?,,
224401,"MR. SCHECK: You were telling us about your conversations with the Prosecutors, and they asked you whether it was normal to see an unsealed envelope containing a blood vial, you gave them an answer that it wasn't, and then you were about to say something else.",,
224402,"MR. YAMAUCHI: Occasionally, we work on evidence items that have not yet been booked.",,
224403,"And so for that reason, it's not completely out of the ordinary.",,
224404,"MR. SCHECK: Is it your understanding of procedures concerning the taking of blood from a suspect that after the nurse draws the blood from the suspect and hands the vial to the requesting officer, that the envelope is then supposed to be sealed?",,
224405,MR. HARMON: Objection.,,
